,2,4,5,7,8,10,11,12,13,14,15,16,17,18,24,26,28,30,31,41,43,44,46,47,49,50,51,52,53,54,58,60,62,63,77,85,251,252,253,254,255,1000,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023,1024,1025,1026,1027,1028,1029,1030,1031,1032,1033,1034,1035,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
2,1.000000,0.903682,0.780709,0.586695,0.541402,0.868448,0.788880,0.824505,0.837034,0.765420,0.587717,0.629022,0.786152,0.742020,0.807093,0.718784,0.791077,0.794505,0.869392,0.640640,0.721647,0.551773,0.495262,0.438573,0.730632,0.659756,0.606981,0.645225,0.586768,0.574340,0.650081,0.686447,0.572594,0.731692,0.857142,0.678622,0.789090,0.812762,0.783672,0.730443,0.657366,0.775659,0.748186,0.703334,0.733142,0.794026,0.590595,0.655969,0.697671,0.661099,0.675173,0.778939,0.536541,0.606627,0.642317,0.544630,0.711620,0.744203,0.711303,0.750869,0.566878,0.650523,0.586527,0.815206,0.811043,0.815831,0.704022,0.605364,0.584962,0.644045,0.654104,0.774051,0.785792,0.432065,0.602032,0.871306,0.827284,0.636327,0.450642,0.661408,0.511777,0.774783,0.554482,0.522070,0.503824,0.456867,0.419876,0.712355,0.408733,0.489926,0.566349,0.522435,0.409140,0.578203,0.660643,0.473110,0.382122,0.423839,0.532258,0.515934,0.750409,0.534116,0.638385,0.573013,0.433579,0.568795,0.531440,0.450737,0.470958,0.397908,0.447088,0.526605,0.550946
4,0.903682,1.000000,0.768108,0.593979,0.537459,0.930610,0.846331,0.847221,0.876762,0.851306,0.622614,0.677206,0.790248,0.769411,0.888156,0.785112,0.844328,0.811021,0.950286,0.723875,0.811103,0.638331,0.542790,0.481690,0.817353,0.752951,0.703070,0.740484,0.668984,0.662945,0.738700,0.770659,0.666880,0.825760,0.917389,0.755617,0.828668,0.877468,0.857570,0.805209,0.731824,0.817095,0.669869,0.759401,0.707899,0.878266,0.575416,0.684013,0.674997,0.596163,0.640861,0.781631,0.500672,0.645668,0.632178,0.605679,0.657642,0.749216,0.703054,0.726122,0.580849,0.649593,0.569506,0.733566,0.836443,0.754052,0.684365,0.666983,0.606003,0.675274,0.610568,0.723179,0.692190,0.485035,0.625727,0.795639,0.815723,0.727526,0.524953,0.730307,0.583403,0.861321,0.558329,0.604318,0.571986,0.500256,0.501470,0.745986,0.437527,0.576728,0.594584,0.596335,0.495550,0.652458,0.680983,0.566536,0.472779,0.516888,0.545532,0.582371,0.797918,0.605643,0.652784,0.646356,0.515791,0.628271,0.547991,0.543415,0.541019,0.465845,0.534815,0.612989,0.646835
5,0.780709,0.768108,1.000000,0.740891,0.688890,0.804948,0.723772,0.827253,0.838696,0.756919,0.709487,0.750737,0.948164,0.881393,0.732474,0.733898,0.848708,0.868676,0.793620,0.546857,0.628669,0.572063,0.588239,0.525519,0.673605,0.592344,0.576936,0.616072,0.607075,0.609688,0.648268,0.700103,0.569116,0.664477,0.827670,0.733767,0.685743,0.659656,0.632984,0.613183,0.604123,0.857137,0.763032,0.575931,0.554241,0.667740,0.541564,0.831976,0.854896,0.583115,0.864729,0.683651,0.565460,0.650325,0.673257,0.568191,0.845325,0.913393,0.503299,0.691610,0.596646,0.634816,0.579041,0.628039,0.615050,0.617450,0.573186,0.565879,0.527380,0.488924,0.512053,0.850377,0.667530,0.427967,0.747744,0.841088,0.831151,0.646310,0.409908,0.536959,0.365253,0.651419,0.498108,0.595524,0.541473,0.371326,0.455928,0.625133,0.403720,0.501483,0.573411,0.536136,0.412403,0.617428,0.466248,0.402870,0.367983,0.373990,0.510987,0.379960,0.573928,0.393123,0.516945,0.526887,0.365177,0.425006,0.397801,0.431263,0.369372,0.390356,0.504298,0.473367,0.516522
7,0.586695,0.593979,0.740891,1.000000,0.922766,0.659667,0.514705,0.593437,0.624666,0.642992,0.876853,0.818034,0.765560,0.687541,0.632151,0.551851,0.712728,0.633023,0.622347,0.495257,0.540600,0.588819,0.768205,0.729693,0.607456,0.465614,0.505942,0.546523,0.629859,0.583774,0.524526,0.655167,0.526133,0.570665,0.662805,0.623382,0.627513,0.538404,0.476692,0.437660,0.425199,0.662406,0.641409,0.378859,0.325744,0.505544,0.610944,0.698429,0.844207,0.549445,0.744368,0.646736,0.677084,0.443286,0.780139,0.391125,0.665278,0.819149,0.381230,0.434602,0.363812,0.383869,0.679808,0.440907,0.475614,0.409055,0.541203,0.370273,0.288173,0.277835,0.466142,0.605299,0.512159,0.233705,0.576720,0.623677,0.577896,0.589127,0.467664,0.361302,0.248238,0.500096,0.579370,0.595496,0.647896,0.430398,0.537005,0.618766,0.560382,0.392796,0.702658,0.383790,0.467377,0.673264,0.364064,0.326340,0.271367,0.282129,0.630705,0.332848,0.457104,0.316723,0.515157,0.352853,0.223577,0.249562,0.404795,0.435677,0.369939,0.223371,0.472789,0.471833,0.465023
8,0.541402,0.537459,0.688890,0.922766,1.000000,0.600793,0.448646,0.531515,0.560973,0.572784,0.813466,0.742838,0.706828,0.620617,0.571655,0.479679,0.643927,0.570829,0.560896,0.436249,0.477936,0.521011,0.727385,0.707397,0.543886,0.394351,0.434000,0.475478,0.563390,0.509706,0.449175,0.583806,0.453752,0.504423,0.600533,0.547241,0.582074,0.484607,0.416361,0.371403,0.353040,0.594124,0.635952,0.313775,0.277629,0.442321,0.618747,0.631100,0.817702,0.559374,0.719285,0.615520,0.720161,0.374407,0.784055,0.317126,0.642295,0.759311,0.346327,0.382596,0.301738,0.325674,0.696720,0.412270,0.428271,0.371007,0.525517,0.298165,0.224136,0.216917,0.460995,0.566628,0.497905,0.160812,0.513358,0.588388,0.522458,0.515428,0.421256,0.294446,0.186313,0.436424,0.578532,0.521445,0.596792,0.405465,0.479658,0.581815,0.560144,0.315692,0.685662,0.307668,0.409337,0.609437,0.324051,0.256532,0.195001,0.208418,0.630295,0.282584,0.407017,0.260690,0.491998,0.278996,0.149135,0.184071,0.385377,0.370769,0.322892,0.147636,0.397846,0.412544,0.394666
10,0.868448,0.930610,0.804948,0.659667,0.600793,1.000000,0.811723,0.836918,0.879591,0.887476,0.691994,0.744158,0.838937,0.801482,0.918999,0.783917,0.899397,0.820270,0.950437,0.730699,0.813999,0.681013,0.609837,0.548009,0.845420,0.741252,0.717219,0.759878,0.716566,0.700472,0.746477,0.816571,0.692241,0.837822,0.960146,0.786741,0.851973,0.852104,0.810640,0.761308,0.705322,0.843255,0.682253,0.705858,0.640127,0.836668,0.608411,0.722772,0.726106,0.605005,0.676572,0.806792,0.543079,0.634283,0.684452,0.595041,0.676402,0.805925,0.661794,0.683263,0.557642,0.614167,0.612086,0.688242,0.790616,0.695133,0.689756,0.637460,0.560366,0.612148,0.605510,0.723169,0.672825,0.460241,0.644415,0.791078,0.799568,0.759380,0.557692,0.684140,0.549564,0.825960,0.592418,0.648302,0.628224,0.523751,0.549337,0.774549,0.486579,0.580477,0.649011,0.589580,0.533463,0.707786,0.646173,0.561198,0.470562,0.509947,0.590644,0.572537,0.763499,0.586356,0.664393,0.620563,0.491052,0.577431,0.552924,0.568850,0.549778,0.446698,0.564363,0.634922,0.661076
11,0.788880,0.846331,0.723772,0.514705,0.448646,0.811723,1.000000,0.889351,0.883294,0.821559,0.549933,0.628356,0.732996,0.786834,0.783510,0.893757,0.798414,0.839497,0.861021,0.664438,0.754764,0.615755,0.469197,0.398993,0.746650,0.801060,0.720423,0.740028,0.629179,0.675012,0.811953,0.736455,0.679862,0.783910,0.835048,0.797567,0.688727,0.767472,0.826439,0.866925,0.859576,0.836957,0.570560,0.845182,0.721071,0.867318,0.424875,0.711794,0.592318,0.453267,0.596590,0.630538,0.363713,0.784212,0.498901,0.749494,0.615430,0.684351,0.594829,0.793880,0.713543,0.765550,0.424978,0.645675,0.731296,0.698077,0.532461,0.814197,0.743253,0.744526,0.462729,0.708554,0.585521,0.637581,0.703334,0.721145,0.843253,0.733849,0.453542,0.801729,0.589623,0.847434,0.411996,0.624354,0.506167,0.383341,0.470148,0.608852,0.312756,0.677709,0.470597,0.728048,0.466358,0.600588,0.582694,0.598949,0.566671,0.584395,0.407381,0.519032,0.706250,0.567000,0.510915,0.777698,0.616233,0.691063,0.414019,0.534981,0.468366,0.608885,0.591965,0.569158,0.659016
12,0.824505,0.847221,0.827253,0.593437,0.531515,0.836918,0.889351,1.000000,0.952695,0.814250,0.604825,0.675977,0.824371,0.872322,0.774521,0.865056,0.848051,0.943200,0.871267,0.610633,0.703540,0.593313,0.504829,0.434968,0.719794,0.714502,0.660281,0.689647,0.615907,0.650155,0.755099,0.727187,0.633080,0.738821,0.870788,0.794242,0.691066,0.731408,0.752374,0.762742,0.760571,0.907930,0.659051,0.739101,0.682761,0.792247,0.462382,0.789115,0.687772,0.507469,0.705655,0.653457,0.433909,0.775303,0.558376,0.701118,0.723864,0.772039,0.563770,0.815137,0.716681,0.768479,0.475996,0.666468,0.693543,0.696876,0.548204,0.727891,0.689332,0.651584,0.483884,0.811400,0.640455,0.575680,0.766192,0.805980,0.936641,0.702139,0.421938,0.692786,0.491502,0.771302,0.435124,0.615053,0.509334,0.364135,0.453627,0.611754,0.332108,0.612458,0.498941,0.665554,0.432719,0.601692,0.535446,0.511404,0.486170,0.494055,0.435415,0.452400,0.654898,0.487505,0.507107,0.682794,0.513756,0.582898,0.398142,0.483321,0.415440,0.534692,0.559232,0.520212,0.595838
13,0.837034,0.876762,0.838696,0.624666,0.560973,0.879591,0.883294,0.952695,1.000000,0.857559,0.644013,0.714592,0.849320,0.881523,0.818309,0.868051,0.891852,0.929465,0.910753,0.649581,0.741506,0.634386,0.547612,0.478272,0.763426,0.737082,0.692852,0.725851,0.659414,0.685278,0.775769,0.770550,0.667627,0.778016,0.915994,0.821633,0.732236,0.763929,0.773223,0.771742,0.759533,0.929038,0.663801,0.734998,0.663620,0.814078,0.499277,0.794751,0.708555,0.527413,0.707349,0.691234,0.463453,0.746684,0.595193,0.686302,0.715350,0.799276,0.582536,0.772275,0.675181,0.723013,0.512393,0.663375,0.716002,0.687989,0.580083,0.713529,0.653573,0.639547,0.508511,0.789121,0.641652,0.552704,0.748765,0.803254,0.898262,0.738730,0.466888,0.696941,0.510507,0.795476,0.476045,0.646938,0.554970,0.408202,0.495572,0.654432,0.377918,0.622551,0.544169,0.661389,0.474214,0.646295,0.559828,0.536661,0.497622,0.511842,0.478646,0.486646,0.682225,0.516951,0.545533,0.678062,0.518105,0.584165,0.435704,0.520810,0.455621,0.522245,0.582356,0.561270,0.628895
14,0.765420,0.851306,0.756919,0.642992,0.572784,0.887476,0.821559,0.814250,0.857559,1.000000,0.707076,0.782405,0.797082,0.809612,0.902206,0.841963,0.905804,0.803599,0.893858,0.769159,0.850716,0.772592,0.642605,0.573574,0.889653,0.818165,0.816003,0.856765,0.797480,0.808685,0.847193,0.908577,0.797141,0.897559,0.899396,0.884113,0.794622,0.811545,0.802457,0.786075,0.764655,0.855964,0.582294,0.718715,0.583276,0.840969,0.537963,0.749285,0.670862,0.499953,0.625350,0.727170,0.467860,0.675491,0.624078,0.664597,0.608318,0.771885,0.590175,0.641885,0.572952,0.604642,0.544776,0.586001,0.729864,0.607546,0.604640,0.690633,0.570539,0.605735,0.509171,0.658282,0.561537,0.520012,0.674322,0.695956,0.755915,0.868342,0.604121,0.713784,0.581579,0.839780,0.539643,0.752952,0.682947,0.516363,0.631614,0.731500,0.474697,0.683358,0.630481,0.674971,0.615686,0.776103,0.598522,0.643632,0.571938,0.602414,0.552793,0.589310,0.728526,0.611008,0.610164,0.688033,0.567819,0.601776,0.507587,0.658856,0.577526,0.523863,0.676254,0.699119,0.755920
15,0.587717,0.622614,0.709487,0.876853,0.813466,0.691994,0.549933,0.604825,0.644013,0.707076,1.000000,0.905788,0.751131,0.694778,0.689744,0.596547,0.749062,0.636358,0.656169,0.585708,0.618830,0.704953,0.872931,0.812194,0.687719,0.544917,0.603327,0.640968,0.744371,0.688131,0.600168,0.746172,0.630978,0.648578,0.693037,0.689960,0.674093,0.589063,0.530333,0.494057,0.483990,0.683766,0.570874,0.427335,0.335197,0.558845,0.607474,0.701519,0.762342,0.504526,0.663610,0.668903,0.613438,0.468300,0.755244,0.440172,0.592190,0.795069,0.409015,0.427399,0.369879,0.384813,0.659699,0.423790,0.513331,0.404500,0.551794,0.421101,0.310721,0.318332,0.457840,0.560663,0.470026,0.280323,0.576673,0.588548,0.571965,0.684732,0.577792,0.422199,0.330891,0.558832,0.603088,0.698526,0.767349,0.506486,0.660075,0.671525,0.614695,0.477083,0.757825,0.448334,0.589728,0.791698,0.410778,0.428864,0.366500,0.382029,0.662382,0.420373,0.510308,0.403423,0.556681,0.416742,0.307534,0.313196,0.452381,0.553613,0.467322,0.286801,0.571778,0.581616,0.570203
16,0.629022,0.677206,0.750737,0.818034,0.742838,0.744158,0.628356,0.675977,0.714592,0.782405,0.905788,1.000000,0.795273,0.768071,0.741106,0.685002,0.819056,0.706434,0.717988,0.630074,0.674817,0.758627,0.817562,0.744040,0.741770,0.623607,0.677306,0.713194,0.793121,0.765055,0.689387,0.818119,0.703247,0.712548,0.753664,0.782499,0.694505,0.634254,0.592002,0.569063,0.571380,0.761034,0.569383,0.503642,0.392971,0.625978,0.560326,0.773492,0.752232,0.478949,0.676861,0.668508,0.548676,0.556772,0.700281,0.533794,0.612511,0.825208,0.433701,0.493471,0.452435,0.461526,0.601844,0.452128,0.553427,0.445983,0.540460,0.511187,0.394496,0.390853,0.443050,0.602811,0.480648,0.373813,0.652696,0.620368,0.635630,0.763768,0.585010,0.498486,0.390485,0.625450,0.557935,0.774067,0.764736,0.488307,0.682186,0.672420,0.553504,0.567143,0.705221,0.542241,0.617841,0.826377,0.438006,0.496767,0.450955,0.459510,0.606819,0.451962,0.551053,0.447889,0.546244,0.506799,0.392583,0.387193,0.439243,0.602040,0.486523,0.380657,0.650577,0.619321,0.637488
17,0.786152,0.790248,0.948164,0.765560,0.706828,0.838937,0.732996,0.824371,0.849320,0.797082,0.751131,0.795273,1.000000,0.884790,0.773459,0.748026,0.890590,0.860196,0.820456,0.590943,0.669331,0.620396,0.633605,0.569761,0.718712,0.624100,0.617543,0.658251,0.656924,0.652477,0.677751,0.747190,0.611980,0.705367,0.859305,0.765266,0.725335,0.691633,0.658421,0.633480,0.620089,0.871438,0.740954,0.588278,0.546976,0.693051,0.571113,0.831836,0.855695,0.588004,0.827018,0.717567,0.579934,0.642261,0.703038,0.573051,0.797871,0.946299,0.522746,0.667291,0.574699,0.611308,0.606738,0.619999,0.638425,0.610420,0.599420,0.573197,0.515753,0.494699,0.528523,0.804080,0.653831,0.427121,0.731771,0.817805,0.811539,0.688841,0.461062,0.555985,0.396771,0.679395,0.534892,0.635431,0.592532,0.417618,0.505382,0.667374,0.448237,0.526732,0.618358,0.549980,0.462317,0.668147,0.493574,0.441016,0.396293,0.407279,0.551126,0.421413,0.603873,0.431412,0.553755,0.541567,0.388319,0.442946,0.434913,0.478413,0.416151,0.399006,0.538502,0.521831,0.558956
