Edge_Name,Global_Saliency_Mean,Global_Contrib_Mean,Contrib_Std,Robustness_Z_Score,PD_Contrib_Mean,HC_Contrib_Mean,Prodromal_Contrib_Mean,Contrastive_Delta_C
lh_cuneus <-> lh_inferiortemporal,1.2393204551120376e-07,5.278086612630664e-09,2.7439486154585563e-07,0.018559008358804783,0.0,0.0,0.0,0.0
cc_anterior <-> rh_insula,1.2387787096537231e-07,5.076302779875068e-09,3.7091763194182697e-07,0.013326510390178818,0.0,0.0,0.0,0.0
rh_parsopercularis <-> rh_pericalcarine,1.2379932332407223e-07,7.237039416180819e-09,5.287993326878575e-07,0.013431789865213978,0.0,0.0,0.0,0.0
lh_pericalcarine <-> rh_inferiortemporal,1.2351035607860105e-07,-8.332088750120852e-09,6.088129022910695e-07,-0.013464633202172161,-0.0,0.0,0.0,-0.0
left_amygdala <-> rh_caudalmiddlefrontal,1.2348386832279213e-07,1.2156796697893421e-08,8.88278425994878e-07,0.013533439461633847,0.0,0.0,0.0,0.0
rh_caudalmiddlefrontal <-> rh_paracentral,1.2340109136081144e-07,8.01264627881118e-09,5.854717325189336e-07,0.013455964139416828,0.0,0.0,0.0,0.0
lh_temporalpole <-> rh_caudalmiddlefrontal,1.2328159125096231e-07,1.634016847987886e-08,1.193950964098385e-06,0.01357212126335701,0.0,0.0,0.0,0.0
lh_lateralorbitofrontal <-> lh_supramarginal,1.2316462001327272e-07,2.2789912153020578e-09,1.6652238084523196e-07,0.01291049443356528,0.0,0.0,0.0,0.0
lh_middletemporal <-> rh_entorhinal,1.2299941489926438e-07,6.408896120086361e-09,4.0050389867969674e-07,0.01561226614582538,0.0,0.0,0.0,0.0
left_cerebellum_white_matter <-> rh_middletemporal,1.22880841315853e-07,8.530724947748459e-09,4.226113659037782e-07,0.01971914198307464,0.0,0.0,0.0,-0.0
lh_parsopercularis <-> lh_temporalpole,1.2274405331270636e-07,5.715850171865677e-10,4.176483756421794e-08,0.011041955197434476,0.0,0.0,0.0,0.0
lh_caudalanteriorcingulate <-> rh_inferiortemporal,1.2270670339695357e-07,-9.872214133983778e-10,5.217656957444206e-08,-0.01587770795583067,-0.0,0.0,0.0,-0.0
left_cerebellum_cortex <-> rh_cuneus,1.223635125542513e-07,5.8217001117483365e-09,4.253826678514844e-07,0.013371455828678522,0.0,0.0,0.0,0.0
left_vessel <-> lh_posteriorcingulate,1.2199340339345433e-07,-2.9583266160521944e-09,1.5361111797812086e-07,-0.018081452242431354,-0.0,0.0,0.0,-0.0
