Edge_Name,Global_Saliency_Mean,Global_Contrib_Mean,Contrib_Std,Robustness_Z_Score
cc_central <-> cc_central,0.008070250508908595,-0.00055812658245198,0.014486933008811176,-0.03852618058292347
cc_mid_posterior <-> cc_mid_posterior,0.0011450822752616173,8.241488862343308e-05,0.006327351322795532,0.013025159212343011
rh_lateraloccipital <-> rh_lateraloccipital,0.0006817438417459463,-0.00013282193824370032,0.007151815643803678,-0.018571752844502982
cc_mid_anterior <-> cc_mid_anterior,0.000481641542236322,-9.351089433581022e-05,0.002595904353645997,-0.03602233417465137
right_hippocampus <-> right_hippocampus,0.00042367559265992926,-6.476012809442124e-05,0.0026663785709983147,-0.024287580887047754
rh_parsorbitalis <-> rh_parsorbitalis,0.0003711072540094384,-5.8848306879734924e-05,0.0036385217055272937,-0.016173641359325922
lh_parsorbitalis <-> lh_parsorbitalis,0.00033626711498423157,-3.1391439623150205e-05,0.002733219603335831,-0.011485108892731816
right_ventraldc <-> right_ventraldc,0.00031050933071592496,-2.6286905719455783e-05,0.0010391834163010387,-0.025295489085201118
rh_temporalpole <-> rh_temporalpole,0.00030430428401907674,-3.410400542860456e-05,0.002985455262002344,-0.01142334692775192
rh_middletemporal <-> rh_middletemporal,0.00027385792671071605,-4.444165635329034e-05,0.003291960156780857,-0.013500017994315243
rh_inferiortemporal <-> rh_inferiortemporal,0.00026647661009141546,-4.7231263824222325e-05,0.0040401237870393465,-0.01169051974856355
cc_posterior <-> cc_posterior,0.00021656795496589477,-2.7878006909223203e-05,0.0006947807163518447,-0.04012432269619687
left_cerebellum_white_matter <-> left_cerebellum_white_matter,0.000192833528968635,-3.8233698317237455e-05,0.003159939578718365,-0.012099464679668893
rh_transversetemporal <-> rh_transversetemporal,0.00017648358837109792,-4.5579866311816125e-05,0.0018854084136911262,-0.02417493431740883
right_thalamus <-> right_thalamus,0.00016408340881524596,-1.0410297224622715e-05,0.0008486442731968954,-0.01226682944210832
right_cerebellum_cortex <-> right_cerebellum_cortex,0.00016158227664937313,-1.946595676815586e-05,0.0005722835271661008,-0.03401393837974707
right_cerebellum_white_matter <-> right_cerebellum_white_matter,0.00014937950697596888,-2.693713531199286e-05,0.0006449996837818926,-0.04176237347949886
