ROI_Name,Global_Saliency_Mean,Global_Contrib_Mean,Contrib_Std,Robustness_Z_Score,PD_Contrib_Mean,HC_Contrib_Mean,Prodromal_Contrib_Mean,Contrastive_Delta_C
lh_posteriorcingulate_Volume,8.669420959562191e-06,-0.00017135009072674788,0.0019665667146225156,-0.08713115000939006,5e-05,6.8e-05,-0.000948,-1.8e-05
cc_central_Volume,8.587204970336891e-06,-9.290644044044763e-05,0.0013809079710326026,-0.06727875398056803,2.7e-05,7.6e-05,-0.000526,-5e-05
left_amygdala_Volume,8.429764717077612e-06,-5.539684378313535e-05,0.0012936553669180212,-0.04282161770714375,2.4e-05,0.000143,-0.000375,-0.000118
right_putamen_Volume,8.309187058684541e-06,1.541183501563517e-05,0.00013510007100268358,0.11406873596661095,-1e-06,2e-06,7e-05,-2e-06
rh_rostralanteriorcingulate_Volume,8.177074480644638e-06,-1.750216244599801e-05,0.0002324475116600865,-0.07529187730268204,5e-06,-2.4e-05,-8.5e-05,2.9e-05
lh_postcentral_Volume,8.103901455705342e-06,-0.0002391322812447865,0.0022867260780745457,-0.1045736250622058,-5.9e-05,-8.7e-05,-0.000856,2.8e-05
cc_anterior_Volume,8.092995383177207e-06,-2.326767473673005e-05,0.00029591720776993746,-0.07862634501258507,1e-05,-3.3e-05,-0.000122,4.3e-05
lh_inferiortemporal_Volume,7.595011118453581e-06,-0.0001306597572747637,0.0015145351162517368,-0.08626996704999206,1.7e-05,0.00012,-0.00068,-0.000103
csf_Volume,7.061978940600625e-06,-5.2433410536912914e-05,0.000514209989095189,-0.10196688508584366,-0.0,0.0,-0.000234,-0.0
left_choroid_plexus_Volume,7.029492465502263e-06,-4.003763779621111e-05,0.0003795233451707523,-0.10549175271595214,-1e-06,-7e-06,-0.000173,6e-06
lh_parstriangularis_Volume,6.6263808131405765e-06,-2.947413782606142e-06,0.00012085501224291502,-0.024385996641297793,2e-06,-3.6e-05,-7e-06,3.8e-05
lh_entorhinal_Volume,6.495708385727143e-06,-3.079376954102212e-05,0.0017548346450466522,-0.01754786079094966,4.1e-05,0.000199,-0.000337,-0.000157
rh_supramarginal_Volume,6.183544408738411e-06,-6.69431143816585e-05,0.0015973532763627176,-0.04190850971238777,6.4e-05,9.1e-05,-0.000534,-2.7e-05
rh_parahippocampal_Volume,6.062801196762013e-06,1.93291338298414e-06,0.0009023334072918637,0.0021421039566136457,-5e-06,0.000117,-1.7e-05,-0.000122
right_ventraldc_Volume,6.010155756440609e-06,-9.690618780916836e-06,0.0005257225821471084,-0.018432600736557062,-1.1e-05,7.5e-05,-3.7e-05,-8.5e-05
rh_postcentral_Volume,5.8912234727471144e-06,-1.901926140105596e-05,0.0020189455681609543,-0.00942034668864972,0.000139,0.000204,-0.000591,-6.5e-05
left_hippocampus_Volume,5.577639184208946e-06,-6.192622147980129e-05,0.000790334140398803,-0.07835348971974876,5e-06,2.9e-05,-0.000304,-2.3e-05
left_cerebral_white_matter_Volume,5.564910157970397e-06,-9.882391010993597e-05,0.0008785967504703925,-0.1124779772714325,-8e-06,-3e-05,-0.000406,2.2e-05
third_ventricle_Volume,5.206718280315089e-06,-6.60862605083535e-06,0.00019591846261712256,-0.033729790774450805,-4e-06,1.3e-05,-2.2e-05,-1.7e-05
left_ventraldc_Volume,4.962731017077656e-06,-1.5077101852511988e-05,0.0004749265153051252,-0.03174550990846773,6e-06,7e-05,-0.000112,-6.4e-05
rh_fusiform_Volume,4.721384996624924e-06,1.6209905675424032e-07,0.0008021767581051,0.00020207146916404546,-1.8e-05,8.8e-05,2.6e-05,-0.000105
left_lateral_ventricle_Volume,4.718221010349116e-06,-5.8522739467055845e-05,0.0006266656349752939,-0.09338601375393037,-2e-06,-1.4e-05,-0.000252,1.2e-05
right_pallidum_Volume,4.417641839643196e-06,5.5664692526205345e-06,8.97318774645787e-05,0.06202755513798596,-1e-06,2e-06,2.7e-05,-2e-06
rh_unknown_Volume,4.347385397216314e-06,4.340238536158463e-06,0.0004678302355471339,0.00927718098269723,-1.6e-05,6e-05,4.7e-05,-7.5e-05
lh_frontalpole_Volume,4.28971962627544e-06,-1.3564092515660833e-05,0.00032360301470778355,-0.04191454576667429,-3.1e-05,3.1e-05,2.5e-05,-6.2e-05
right_hippocampus_Volume,4.2275027570464914e-06,2.141666073441045e-06,0.0006440521680850374,0.003325247436608129,-1.7e-05,9.7e-05,2.9e-05,-0.000115
lh_rostralanteriorcingulate_Volume,4.1349256738858155e-06,1.1638019339457043e-06,0.00010610899720904424,0.010966951861155701,6e-06,-6e-06,-1.1e-05,1.2e-05
left_vessel_Volume,4.115921288512561e-06,-8.5682219999872e-06,0.0004254289533442819,-0.020139721416279104,4e-06,3.9e-05,-6.5e-05,-3.5e-05
lh_insula_Volume,3.87851439520997e-06,1.194730190165794e-06,1.672384747783638e-05,0.07139602483817234,0.0,5e-06,3e-06,-5e-06
rh_bankssts_Volume,3.8640474026016835e-06,-1.5461274660004945e-05,0.00018530459267075252,-0.08343258044160026,1e-06,5e-06,-7.4e-05,-3e-06
rh_frontalpole_Volume,3.863625879739459e-06,-1.5295668984091866e-05,0.00033217867775550724,-0.04604512437762724,-3.5e-05,2.8e-05,3e-05,-6.3e-05
right_accumbens_area_Volume,3.827375340658912e-06,-7.200626829074005e-06,0.0002732290255090638,-0.026352849179061166,-1e-05,1e-05,-5e-06,-2e-05
lh_middletemporal_Volume,3.656220604150374e-06,-4.829714346802637e-05,0.0005770835984382404,-0.08369031227989794,1e-06,2.5e-05,-0.000228,-2.5e-05
left_pallidum_Volume,3.5869323677997703e-06,2.325450202831885e-06,9.378954957303403e-05,0.024791699037117948,-0.0,4e-06,1e-05,-4e-06
lh_parsorbitalis_Volume,3.5296760380037227e-06,-1.3030490142878403e-05,0.0003478790490243769,-0.03745587904943034,-2.3e-05,3.7e-05,1e-06,-6.1e-05
