ROI_Name,Global_Saliency_Mean,Global_Contrib_Mean,Contrib_Std,Robustness_Z_Score,PD_Contrib_Mean,HC_Contrib_Mean,Prodromal_Contrib_Mean,Contrastive_Delta_C
striatum_L,0.06271028669223364,-0.00041795766580225664,0.08175696976318902,-0.005112195521567464,1.5e-05,-0.005433,0.0,0.005448
striatum_R,0.05923734017032371,0.0063250456589404765,0.0822493083088731,0.07690088853001627,0.001392,0.0679,0.0,-0.066508
putamen_L,0.057968518710881635,-0.001643606220579266,0.06899451282608814,-0.023822271004355543,-0.002906,0.004878,0.0,-0.007784
putamen_R,0.053757609511678094,0.002342516235124263,0.06756176462677199,0.03467221292017423,-0.001885,0.046398,0.0,-0.048283
caudate_L,0.05257019480585253,-0.0001378018561229779,0.07138678135934355,-0.001930355090892337,-0.000421,0.001982,0.0,-0.002403
caudate_R,0.05128472153360414,0.0035304827692384574,0.07107829485705693,0.04967032874993976,-0.000448,0.048751,0.0,-0.049199
striatum_bilat,0.041479495911473915,0.009534751972117731,0.04921207934134943,0.19374816431755024,0.009326,0.038382,0.0,-0.029056
