Edge_Name,Global_Saliency_Mean,Global_Contrib_Mean,Contrib_Std,Robustness_Z_Score,PD_Contrib_Mean,HC_Contrib_Mean,Prodromal_Contrib_Mean,Contrastive_Delta_C
fourth_ventricle <-> rh_cuneus,1.504964563268113e-06,-1.306609873666885e-07,6.41645395500568e-06,-0.020331739444723527,0.0,0.0,-1e-06,0.0
cc_posterior <-> optic_chiasm,1.5008090519998572e-06,-5.8534812459437444e-09,4.891591894757838e-06,-0.0011942000418688333,-0.0,1e-06,0.0,-1e-06
lh_parstriangularis <-> right_thalamus,1.499204035701879e-06,-3.583945420288136e-08,1.6599332904871507e-06,-0.02146160832114816,-0.0,0.0,-0.0,-0.0
rh_caudalmiddlefrontal <-> right_caudate,1.4983776177206401e-06,-4.7029228444989034e-08,2.10059116236051e-06,-0.022282490936042294,-0.0,-0.0,0.0,0.0
left_choroid_plexus <-> right_cerebellum_white_matter,1.4974008408490192e-06,-4.1114719678762925e-08,3.0041892933687647e-06,-0.013640390724370087,0.0,0.0,-0.0,0.0
lh_inferiortemporal <-> rh_frontalpole,1.4971288126868924e-06,-7.607010756170182e-08,5.059269110324751e-06,-0.01500612926758362,0.0,0.0,-0.0,0.0
rh_middletemporal <-> right_cerebellum_white_matter,1.49478209562502e-06,1.1963364632355707e-08,1.3519487697985193e-06,0.008784004874225567,-0.0,0.0,-0.0,-0.0
left_putamen <-> lh_inferiortemporal,1.4942232257780733e-06,-8.533597758784542e-08,5.1177888894785e-06,-0.016641866392538666,0.0,0.0,-0.0,0.0
cc_anterior <-> lh_transversetemporal,1.4850305138706938e-06,-7.237369695605103e-08,3.922490954177932e-06,-0.018404033931511077,-0.0,0.0,0.0,-0.0
lh_superiorfrontal <-> rh_fusiform,1.4839580322682076e-06,4.9895272942681534e-08,2.2544378102150563e-06,0.022034287149596272,0.0,0.0,0.0,0.0
lh_caudalanteriorcingulate <-> rh_bankssts,1.482694490013944e-06,1.3191892141092581e-07,9.639112570677832e-06,0.013671611813485016,0.0,0.0,1e-06,0.0
